text,specialty
Симптоматика указывает на беременность.,Гинеколог
Поставлен диагноз — глаукома.,Офтальмолог
Обнаружено близорукость при осмотре.,Офтальмолог
Ранее пациент лечился от резь в глазах.,Офтальмолог
близорукость проявляется в последние дни.,Офтальмолог
Назначено лечение в связи с очки.,Офтальмолог
Симптоматика указывает на близорукость.,Офтальмолог
Назначено лечение в связи с близорукость.,Офтальмолог
Симптоматика указывает на осмотр глазного дна.,Офтальмолог
Имеется анамнез на зрение.,Офтальмолог
Имеется анамнез на резь в глазах.,Офтальмолог
Имеется анамнез на очки.,Офтальмолог
зрение подтверждено результатами обследования.,Офтальмолог
Поставлен диагноз — покраснение глаз.,Офтальмолог
катаракта проявляется в последние дни.,Офтальмолог
Обнаружено осмотр глазного дна при осмотре.,Офтальмолог
Пациент жалуется на глаукома.,Офтальмолог
Диагностировано покраснение глаз после консультации врача.,Офтальмолог
Назначено лечение в связи с покраснение глаз.,Офтальмолог
Симптоматика указывает на зрение.,Офтальмолог
Пациент жалуется на осмотр глазного дна.,Офтальмолог
очки проявляется в последние дни.,Офтальмолог
Имеется анамнез на резь в глазах.,Офтальмолог
Назначено лечение в связи с зрение.,Офтальмолог
Пациент жалуется на зрение.,Офтальмолог
Пациент жалуется на близорукость.,Офтальмолог
Имеется анамнез на близорукость.,Офтальмолог
Пациент жалуется на глаукома.,Офтальмолог
Пациент жалуется на покраснение глаз.,Офтальмолог
Обнаружено покраснение глаз при осмотре.,Офтальмолог
Обнаружено глаукома при осмотре.,Офтальмолог
